model,problem_id,category,paths,condition,scorer,run,reframing_score,correctness,frame_diversity,assumption_surfacing,solution_novelty,premise_questioning
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,claude,4,2.25,4,2,3,2,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,openai,0,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,openai,1,3.0,4,4,3,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,openai,2,3.0,4,4,3,3,2
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,openai,3,3.5,4,4,4,3,3
llama,acquisition_confidence,multi_turn,path_8_confidence_calibration,distance,openai,4,2.75,3,4,3,2,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,0,2.75,4,4,2,3,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,1,2.0,4,2,2,2,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,2,2.0,4,2,2,2,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,3,2.25,4,3,2,2,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,4,2.5,4,3,2,3,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,0,1.75,3,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,1,1.75,3,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,2,1.75,3,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,3,1.75,3,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,4,1.75,3,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,0,2.0,4,3,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,1,1.75,4,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,2,1.75,4,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,3,1.75,4,2,2,2,1
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,4,2.25,4,3,2,2,2
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,self,0,4.75,5,4,5,5,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,self,1,5.0,5,5,5,5,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,self,2,5.0,5,5,5,5,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,self,3,5.0,5,5,5,5,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,self,4,5.0,5,5,5,5,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,claude,0,3.5,3,3,4,3,4
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,claude,1,3.75,4,3,4,4,4
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,claude,2,4.5,4,4,5,4,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,claude,3,3.5,4,3,4,3,4
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,claude,4,3.5,4,3,4,3,4
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,openai,0,4.25,4,4,4,4,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,openai,1,4.75,5,5,5,4,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,openai,2,4.75,4,5,5,4,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,openai,3,4.75,5,5,5,4,5
llama,brain_drain,framing_trap,path_1_name_the_frame|path_6_premise_reflection,distance,openai,4,4.75,5,5,5,4,5
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,self,0,2.5,4,3,2,3,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,self,1,1.5,4,2,1,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,self,2,2.5,4,3,2,3,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,self,3,2.25,4,2,2,3,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,self,4,2.0,4,2,1,3,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,claude,0,1.75,3,2,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,claude,1,1.25,3,1,1,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,claude,2,1.5,3,2,1,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,claude,3,1.75,3,2,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,claude,4,1.5,3,2,1,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,openai,0,2.0,4,3,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,openai,1,2.0,4,3,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,openai,2,2.0,4,3,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,openai,3,2.0,4,3,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,vanilla,openai,4,1.75,4,2,2,2,1
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,self,0,4.0,4,5,4,4,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,self,1,4.0,4,5,4,4,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,self,2,3.5,4,5,4,3,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,self,3,3.75,4,5,4,3,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,self,4,3.5,4,5,4,2,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,claude,0,2.75,4,5,2,2,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,claude,1,2.75,4,5,2,2,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,claude,2,2.5,3,4,2,2,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,claude,3,3.0,4,5,2,2,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,claude,4,3.0,4,5,2,2,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,openai,0,3.5,4,5,3,3,3
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,openai,1,3.25,4,5,3,3,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,openai,2,3.0,4,5,3,2,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,openai,3,3.0,4,5,3,2,2
llama,broken_healthcare,narrative_lockin,path_2_decompose_to_generic|path_9_step_outside,distance,openai,4,3.25,4,5,3,2,3
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,self,0,2.5,4,3,3,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,self,1,2.75,4,3,3,3,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,self,2,3.0,3,3,3,3,3
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,self,3,3.0,4,4,3,3,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,self,4,2.5,4,3,3,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,claude,0,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,claude,1,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,claude,2,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,claude,3,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,claude,4,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,openai,0,2.0,4,2,2,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,openai,1,2.0,4,2,2,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,openai,2,1.75,4,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,openai,3,2.5,4,3,3,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,vanilla,openai,4,2.0,4,2,2,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,self,0,2.75,4,3,2,3,3
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,self,1,3.25,4,4,3,3,3
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,self,2,2.25,4,3,2,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,self,3,2.5,4,3,2,3,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,self,4,3.75,4,4,4,3,4
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,claude,0,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,claude,1,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,claude,2,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,claude,3,1.75,3,2,2,2,1
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,claude,4,2.25,3,2,3,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,openai,0,2.25,4,3,2,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,openai,1,2.5,4,3,3,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,openai,2,2.5,4,3,3,2,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,openai,3,2.75,4,3,3,3,2
llama,budget_allocation,multi_turn,path_4_incubate_reset,distance,openai,4,2.5,4,3,3,2,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,0,3.5,4,4,3,4,3
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,1,3.25,4,4,3,3,3
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,2,3.5,4,4,3,4,3
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,3,3.25,4,4,3,3,3
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,self,4,4.0,5,4,4,4,4
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,0,2.25,3,2,2,3,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,1,2.0,3,2,2,2,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,2,2.25,3,2,2,3,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,3,2.0,3,2,2,2,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,claude,4,1.75,3,2,2,2,1
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,0,2.5,4,3,2,3,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,1,2.5,4,3,2,3,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,2,2.5,4,3,2,3,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,3,2.25,4,3,2,2,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,vanilla,openai,4,2.5,4,3,2,3,2
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,self,0,5.0,5,5,5,5,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,self,1,5.0,5,5,5,5,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,self,2,5.0,5,5,5,5,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,self,3,5.0,5,5,5,5,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,self,4,5.0,5,5,5,5,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,claude,0,4.5,5,4,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,claude,1,4.5,5,4,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,claude,2,4.5,5,4,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,claude,3,4.5,4,4,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,claude,4,4.75,5,5,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,openai,0,4.75,5,5,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,openai,1,4.75,5,5,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,openai,2,4.75,5,5,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,openai,3,4.75,5,5,5,4,5
llama,churn_pattern,einstellung,path_1_name_the_frame|path_6_premise_reflection,distance,openai,4,4.75,5,5,5,4,5
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,self,0,2.0,4,3,1,2,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,self,1,2.5,4,3,2,3,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,self,2,3.0,3,3,3,3,3
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,self,3,2.75,4,4,2,3,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,self,4,2.5,4,3,2,3,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,claude,0,1.5,3,2,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,claude,1,1.5,3,2,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,claude,2,1.25,3,1,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,claude,3,1.5,3,2,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,claude,4,1.5,3,2,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,openai,0,2.0,4,4,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,openai,1,2.25,4,4,2,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,openai,2,1.5,4,2,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,openai,3,2.5,4,4,2,2,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,vanilla,openai,4,1.75,4,3,1,2,1
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,self,0,4.25,5,4,5,4,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,self,1,4.0,4,4,4,4,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,self,2,4.25,5,4,5,4,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,self,3,4.5,5,4,5,5,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,self,4,4.5,5,4,5,5,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,claude,0,3.5,4,3,4,4,3
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,claude,1,3.75,3,3,4,4,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,claude,2,3.0,4,3,4,3,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,claude,3,3.75,4,3,4,4,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,claude,4,3.25,4,3,4,4,2
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,openai,0,3.75,4,4,4,4,3
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,openai,1,3.75,4,3,4,4,4
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,openai,2,3.75,5,4,4,4,3
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,openai,3,3.75,4,4,4,4,3
llama,climate_policy,multi_turn,path_7_surprise_as_signal,distance,openai,4,3.75,4,4,4,4,3
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,0,3.0,4,4,3,3,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,1,2.5,4,3,2,3,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,2,3.0,4,4,3,3,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,3,2.5,4,3,2,3,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,self,4,3.0,4,4,3,3,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,0,1.75,3,2,2,2,1
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,1,1.5,2,2,1,2,1
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,2,1.5,2,2,1,2,1
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,3,1.5,2,2,1,2,1
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,claude,4,1.75,3,2,2,2,1
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,0,2.25,3,3,2,2,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,1,1.75,3,2,2,2,1
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,2,2.25,3,3,2,2,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,3,2.25,3,3,2,2,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,vanilla,openai,4,2.25,3,3,2,2,2
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,self,0,5.0,5,5,5,5,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,self,1,4.75,5,5,5,4,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,self,2,4.5,5,4,5,4,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,self,3,4.5,5,4,5,4,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,self,4,4.75,5,5,5,4,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,claude,0,4.25,4,4,5,3,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,claude,1,3.75,4,4,4,3,4
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,claude,2,4.0,4,4,4,3,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,claude,3,3.5,4,3,4,2,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,claude,4,3.5,4,3,4,2,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,openai,0,4.75,4,5,5,4,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,openai,1,4.75,4,5,5,4,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,openai,2,4.5,4,5,5,4,4
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,openai,3,4.5,4,5,5,3,5
llama,climate_target_anchor,anchoring,path_6_premise_reflection|path_1_name_the_frame,distance,openai,4,4.5,4,5,5,3,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,self,0,3.0,4,4,3,3,2
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,self,1,4.0,5,4,4,4,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,self,2,3.0,4,4,3,3,2
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,self,3,3.5,4,4,4,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,self,4,3.5,4,4,4,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,claude,0,2.5,4,3,2,3,2
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,claude,1,2.5,4,3,2,3,2
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,claude,2,1.75,3,2,2,2,1
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,claude,3,1.75,3,2,2,2,1
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,claude,4,1.75,3,2,2,2,1
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,openai,0,3.25,4,4,3,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,openai,1,3.25,4,4,3,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,openai,2,3.25,4,4,3,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,openai,3,3.25,4,4,3,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,vanilla,openai,4,3.25,4,4,3,3,3
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,self,0,4.25,5,4,4,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,self,1,4.25,5,4,4,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,self,2,4.25,5,4,4,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,self,3,4.25,5,4,4,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,self,4,4.25,5,4,4,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,claude,0,3.5,4,2,3,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,claude,1,3.0,4,2,3,3,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,claude,2,3.0,4,2,3,3,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,claude,3,4.25,4,4,4,4,5
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,claude,4,3.0,4,2,3,3,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,openai,0,3.25,4,3,3,3,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,openai,1,3.5,4,3,3,4,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,openai,2,3.25,4,3,3,3,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,openai,3,3.5,4,3,3,4,4
llama,custody_dispute,zero_sum,path_6_premise_reflection|path_9_step_outside,distance,openai,4,3.25,4,3,3,3,4
llama,dead_end_career,narrative_lockin,path_5_invert|path_6_premise_reflection,vanilla,self,0,2.5,4,3,2,3,2
llama,dead_end_career,narrative_lockin,path_5_invert|path_6_premise_reflection,vanilla,self,1,2.25,4,3,2,2,2
llama,dead_end_career,narrative_lockin,path_5_invert|path_6_premise_reflection,vanilla,self,2,2.0,4,2,2,2,2
